iter	Passed	Remaining
0	92	73741
1	106	42650
2	115	30800
3	131	26146
4	138	22022
5	148	19643
6	157	17847
7	164	16266
8	170	15009
9	183	14507
10	196	14080
11	202	13329
12	209	12677
13	221	12441
14	234	12259
15	245	12051
16	252	11623
17	258	11219
18	269	11086
19	281	10980
20	292	10844
21	307	10860
22	313	10576
23	334	10824
24	352	10916
25	357	10630
26	373	10702
27	388	10717
28	404	10765
29	417	10717
30	430	10672
31	437	10511
32	452	10521
33	465	10496
34	472	10330
35	484	10281
36	497	10256
37	506	10159
38	520	10162
39	531	10089
40	541	10020
41	556	10043
42	564	9933
43	578	9937
44	594	9971
45	607	9959
46	620	9948
47	634	9935
48	646	9914
49	660	9903
50	673	9892
51	686	9872
52	699	9852
53	711	9824
54	724	9813
55	737	9798
56	746	9730
57	759	9715
58	773	9709
59	785	9692
60	797	9658
61	809	9634
62	821	9607
63	833	9582
64	845	9556
65	858	9542
66	871	9529
67	882	9502
68	894	9471
69	905	9443
70	918	9427
71	930	9411
72	946	9425
73	960	9419
74	973	9414
75	983	9367
76	996	9357
77	1011	9358
78	1023	9342
79	1036	9327
80	1048	9310
81	1060	9290
82	1072	9267
83	1085	9249
84	1104	9290
85	1115	9264
86	1138	9333
87	1157	9362
88	1176	9396
89	1190	9388
90	1206	9396
91	1220	9392
92	1234	9383
93	1246	9364
94	1259	9345
95	1271	9325
96	1284	9308
97	1299	9305
98	1312	9295
99	1324	9272
100	1339	9267
101	1352	9256
102	1365	9243
103	1375	9206
104	1389	9193
105	1401	9179
106	1415	9166
107	1428	9154
108	1442	9144
109	1453	9119
110	1465	9095
111	1476	9069
112	1487	9042
113	1498	9014
114	1509	8992
115	1521	8969
116	1531	8942
117	1543	8918
118	1554	8897
119	1567	8880
120	1579	8863
121	1591	8842
122	1604	8832
123	1616	8810
124	1629	8798
125	1640	8775
126	1652	8758
127	1663	8735
128	1675	8713
129	1686	8691
130	1697	8666
131	1702	8613
132	1712	8590
133	1723	8567
134	1734	8546
135	1746	8526
136	1758	8507
137	1770	8490
138	1784	8484
139	1796	8468
140	1807	8448
141	1821	8439
142	1833	8422
143	1844	8403
144	1855	8383
145	1867	8367
146	1879	8350
147	1891	8332
148	1902	8312
149	1913	8293
150	1924	8272
151	1937	8259
152	1950	8246
153	1961	8227
154	1974	8214
155	1986	8199
156	2000	8191
157	2012	8176
158	2024	8162
159	2038	8153
160	2051	8142
161	2062	8122
162	2073	8104
163	2084	8085
164	2095	8066
165	2107	8047
166	2118	8029
167	2133	8025
168	2150	8030
169	2162	8015
170	2175	8002
171	2186	7985
172	2199	7971
173	2212	7958
174	2226	7952
175	2241	7946
176	2253	7932
177	2265	7917
178	2278	7903
179	2290	7888
180	2302	7873
181	2314	7857
182	2324	7837
183	2335	7818
184	2346	7801
185	2359	7788
186	2371	7773
187	2382	7755
188	2394	7740
189	2407	7727
190	2422	7723
191	2434	7708
192	2446	7695
193	2459	7682
194	2470	7665
195	2482	7650
196	2494	7634
197	2506	7620
198	2517	7604
199	2530	7590
200	2542	7576
201	2554	7563
202	2568	7553
203	2581	7540
204	2593	7526
205	2606	7515
206	2619	7504
207	2632	7492
208	2644	7477
209	2657	7467
210	2670	7453
211	2681	7437
212	2692	7420
213	2704	7405
214	2715	7387
215	2726	7372
216	2738	7357
217	2749	7341
218	2761	7325
219	2773	7313
220	2785	7298
221	2798	7286
222	2810	7272
223	2823	7260
224	2836	7250
225	2850	7238
226	2862	7226
